newton,bfgs,simplex
-6.083286444020771,-6.0832864906562305,-6.083286444020771
0.8717694769830785,0.8717694803858717,0.8717694769830785
0.5315950345856135,0.5315950345526367,0.5315950345856135
0.6036914518198829,0.6036914522941961,0.6036914518198829
0.163297314124098,0.1632973121986903,0.163297314124098
0.8770386349949216,0.8770386693920745,0.8770386349949216
-0.06144845300487492,-0.06144844134087014,-0.06144845300487492
0.2269642466569538,0.2269642643504538,0.2269642466569538
1.01071266841112,1.0107126831339257,1.01071266841112
0.33471708097962416,0.33471707985187604,0.33471708097962416
-0.2870223699574565,-0.28702236873720516,-0.2870223699574565
0.19397344331400612,0.1939734411244948,0.19397344331400612
0.765449543647166,0.7654495413286845,0.765449543647166
1.1541661097683706,1.1541661032151975,1.1541661097683706
0.7712409434970723,0.7712409372355001,0.7712409434970723
0.3778544358914754,0.37785442611094144,0.3778544358914754
0.24437420461546736,0.24437419965654325,0.24437420461546736
