theta_grid,K_t,L_t
0.11,3.397877263929253,0.3446528190541937
0.10421052631578948,3.546358018559889,0.3446528190541937
0.09842105263157895,3.675615769940924,0.3446528190541937
0.09263157894736843,3.790062189290414,0.3446528190541937
0.0868421052631579,3.8927453728853014,0.3446528190541937
0.08105263157894736,3.9858596640486397,0.3446528190541937
0.07526315789473684,4.0710374432163015,0.3446528190541937
0.06947368421052631,4.149526014707576,0.3446528190541937
0.06368421052631579,4.222299945013515,0.3446528190541937
0.05789473684210526,4.290135205593656,0.3446528190541937
0.05210526315789474,4.3536597167495135,0.3446528190541937
0.04631578947368421,4.4133887691954605,0.3446528190541937
0.04052631578947368,4.4697504474926095,0.3446528190541937
0.034736842105263156,4.5231042616456465,0.3446528190541937
0.02894736842105263,4.573755054185723,0.3446528190541937
0.023157894736842106,4.621963551237538,0.3446528190541937
0.017368421052631578,4.667954484825262,0.3446528190541937
0.011578947368421053,4.711922927887731,0.3446528190541937
0.005789473684210527,4.75403929412101,0.3446528190541937
0.0,4.794453326716365,0.3446528190541937
